participantId,ageGroup,questionType,epistemic,p_hypothesis,n_trials
TT002_1783036107525,Younger,boss,yes,0.5,6
TT002_1783036107525,Younger,close,hmm,0.5,6
TT002_1783660225682,Older,boss,hmm,0.5,6
TT002_1783660225682,Older,close,yes,0.3333333333333333,6
TT003_1783276327793,Older,boss,yes,0.0,6
TT003_1783276327793,Older,close,hmm,1.0,6
TT004_1783531610408,Older,boss,hmm,0.0,6
TT004_1783531610408,Older,close,hmm,1.0,6
TT004_1785002515732,Older,boss,hmm,0.5,6
TT004_1785002515732,Older,close,hmm,0.8333333333333334,6
TT005_1782222533582,Older,boss,hmm,0.0,6
TT005_1782222533582,Older,close,hmm,1.0,6
TT006_1782145862602,Older,boss,hmm,0.3333333333333333,6
TT006_1782145862602,Older,close,hmm,0.5,6
TT007_1782504008463,Older,boss,yes,0.0,6
TT007_1782504008463,Older,close,yes,1.0,6
TT008_1783367663960,Younger,boss,hmm,0.3333333333333333,6
TT008_1783367663960,Younger,close,hmm,0.3333333333333333,6
TT009_1782513683179,Older,boss,hmm,0.5,6
TT009_1782513683179,Older,close,hmm,0.8333333333333334,6
TT009_1784403357857,Younger,boss,yes,0.3333333333333333,6
TT009_1784403357857,Younger,close,yes,0.8333333333333334,6
TT015_1783023547568,Younger,boss,hmm,0.8333333333333334,6
TT015_1783023547568,Younger,close,hmm,0.5,6
TT015_1784138458016,Older,boss,yes,0.16666666666666666,6
TT015_1784138458016,Older,close,yes,0.8333333333333334,6
TT015_1785107406879,Younger,boss,yes,0.5,6
TT015_1785107406879,Younger,close,hmm,0.3333333333333333,6
TT017_1784732543399,Younger,boss,yes,0.6666666666666666,6
TT017_1784732543399,Younger,close,hmm,0.3333333333333333,6
TT018_1782761382358,Younger,boss,yes,0.3333333333333333,6
TT018_1782761382358,Younger,close,yes,0.5,6
TT019_1784644948993,Older,boss,hmm,1.0,6
TT019_1784644948993,Older,close,hmm,1.0,6
TT020_1782179445272,Younger,boss,hmm,0.3333333333333333,6
TT020_1782179445272,Younger,close,yes,0.3333333333333333,6
TT020_1783200401617,Older,boss,yes,0.16666666666666666,6
TT020_1783200401617,Older,close,yes,0.8333333333333334,6
TT021_1781967893349,Older,boss,yes,1.0,6
TT021_1781967893349,Older,close,yes,0.0,6
TT021_1783744427163,Older,boss,hmm,0.6666666666666666,6
TT021_1783744427163,Older,close,yes,0.3333333333333333,6
TT023_1783367000307,Older,boss,yes,0.16666666666666666,6
TT023_1783367000307,Older,close,yes,0.6666666666666666,6
TT024_1782001172253,Younger,boss,yes,0.16666666666666666,6
TT024_1782001172253,Younger,close,hmm,0.5,6
TT025_1782049334661,Older,boss,hmm,0.5,6
TT025_1782049334661,Older,close,hmm,1.0,6
TT026_1781973377308,Younger,boss,hmm,0.5,6
TT026_1781973377308,Younger,close,yes,0.6666666666666666,6
TT026_1782513261762,Older,boss,hmm,0.8333333333333334,6
TT026_1782513261762,Older,close,yes,0.3333333333333333,6
TT026_1784762637448,Older,boss,hmm,0.16666666666666666,6
TT026_1784762637448,Older,close,yes,0.3333333333333333,6
TT027_1783436678833,Younger,boss,yes,0.16666666666666666,6
TT027_1783436678833,Younger,close,yes,0.8333333333333334,6
TT028_1782238939541,Older,boss,hmm,0.16666666666666666,6
TT028_1782238939541,Older,close,hmm,0.5,6
TT028_1782761768628,Older,boss,yes,0.3333333333333333,6
TT028_1782761768628,Older,close,yes,1.0,6
TT028_1783544364653,Older,boss,yes,0.6666666666666666,6
TT028_1783544364653,Older,close,hmm,0.6666666666666666,6
TT030_1781956883477,Younger,boss,hmm,0.3333333333333333,6
TT030_1781956883477,Younger,close,yes,0.6666666666666666,6
TT030_1782166730391,Older,boss,hmm,0.0,6
TT030_1782166730391,Older,close,yes,0.8333333333333334,6
TT031_1782064484090,Younger,boss,hmm,0.6666666666666666,6
TT031_1782064484090,Younger,close,hmm,0.6666666666666666,6
TT031_1783277994812,Younger,boss,hmm,0.3333333333333333,6
TT031_1783277994812,Younger,close,hmm,0.5,6
TT032_1783174905305,Older,boss,hmm,0.8333333333333334,6
TT032_1783174905305,Older,close,yes,0.6666666666666666,6
TT033_1784586061112,Younger,boss,hmm,0.6666666666666666,6
TT033_1784586061112,Younger,close,yes,0.6666666666666666,6
TT035_1784765887863,Older,boss,yes,0.5,6
TT035_1784765887863,Older,close,yes,0.3333333333333333,6
TT036_1782163423431,Older,boss,yes,0.16666666666666666,6
TT036_1782163423431,Older,close,hmm,0.6666666666666666,6
TT036_1782594734016,Younger,boss,yes,0.3333333333333333,6
TT036_1782594734016,Younger,close,yes,0.3333333333333333,6
TT036_1784339833949,Younger,close,hmm,1.0,4
TT037_1782003025953,Older,boss,yes,0.5,6
TT037_1782003025953,Older,close,hmm,0.5,6
TT038_1783001905805,Older,boss,yes,0.0,6
TT038_1783001905805,Older,close,yes,1.0,6
TT040_1781993137159,Older,boss,yes,1.0,6
TT040_1781993137159,Older,close,hmm,1.0,6
TT040_1782232257182,Older,boss,hmm,0.3333333333333333,6
TT040_1782232257182,Older,close,yes,0.16666666666666666,6
TT043_1782760016517,Older,boss,hmm,1.0,6
TT043_1782760016517,Older,close,yes,1.0,6
TT044_1784302185968,Older,boss,hmm,0.16666666666666666,6
TT044_1784302185968,Older,close,hmm,0.6666666666666666,6
TT045_1782502684181,Younger,boss,hmm,0.5,6
TT045_1782502684181,Younger,close,hmm,0.5,6
TT045_1784314883089,Older,boss,hmm,0.0,6
TT045_1784314883089,Older,close,yes,0.8333333333333334,6
TT046_1785183206786,Younger,boss,hmm,0.8333333333333334,6
TT046_1785183206786,Younger,close,yes,0.16666666666666666,6
TT047_1782245917301,Younger,boss,yes,0.16666666666666666,6
TT047_1782245917301,Younger,close,yes,0.6666666666666666,6
TT047_1783527566133,Younger,boss,hmm,0.16666666666666666,6
TT047_1783527566133,Younger,close,hmm,0.8333333333333334,6
TT047_1784681144384,Younger,boss,hmm,0.5,6
TT047_1784681144384,Younger,close,yes,0.5,6
TT047_1784737183530,Younger,boss,hmm,0.8333333333333334,6
TT047_1784737183530,Younger,close,hmm,0.5,6
TT048_1783098256675,Older,boss,hmm,0.0,6
TT048_1783098256675,Older,close,yes,0.8333333333333334,6
TT048_1783376664157,Younger,boss,hmm,0.16666666666666666,6
TT048_1783376664157,Younger,close,yes,0.6666666666666666,6
TT048_1784160342959,Older,boss,hmm,0.5,6
TT048_1784160342959,Older,close,hmm,0.5,6
TT048_1784396357246,Younger,boss,hmm,0.6666666666666666,6
TT048_1784396357246,Younger,close,yes,0.6666666666666666,6
TT049_1782164415760,Younger,boss,hmm,0.5,6
TT049_1782164415760,Younger,close,hmm,0.5,6
TT050_1784726863251,Older,boss,hmm,0.5,6
TT050_1784726863251,Older,close,hmm,0.6666666666666666,6
TT051_1782682822350,Younger,boss,hmm,0.16666666666666666,6
TT051_1782682822350,Younger,close,yes,1.0,6
TT051_1784918286881,Younger,boss,hmm,0.8333333333333334,6
TT051_1784918286881,Younger,close,hmm,0.16666666666666666,6
TT052_1782833886614,Younger,boss,hmm,0.0,6
TT052_1782833886614,Younger,close,hmm,0.6666666666666666,6
TT053_1782647688805,Older,boss,yes,0.0,6
TT053_1782647688805,Older,close,yes,1.0,6
TT054_1782052225958,Younger,boss,hmm,0.3333333333333333,6
TT054_1782052225958,Younger,close,hmm,0.3333333333333333,6
TT054_1782318541674,Younger,boss,yes,0.6666666666666666,6
TT054_1782318541674,Younger,close,yes,0.3333333333333333,6
TT054_1783172779527,Older,boss,yes,0.0,6
TT054_1783172779527,Older,close,hmm,0.5,6
TT056_1783201470796,Older,boss,yes,0.0,6
TT056_1783201470796,Older,close,hmm,1.0,6
TT057_1782179533945,Older,boss,hmm,0.8333333333333334,6
TT057_1782179533945,Older,close,hmm,0.8333333333333334,6
TT057_1784572404744,Younger,boss,hmm,0.6666666666666666,6
TT057_1784572404744,Younger,close,hmm,0.6666666666666666,6
TT058_1785105414000,Younger,boss,yes,0.8333333333333334,6
TT058_1785105414000,Younger,close,hmm,0.5,6
TT059_1782780120849,Older,boss,yes,0.5,6
TT059_1782780120849,Older,close,hmm,0.16666666666666666,6
TT060_1782161192818,Older,boss,yes,0.6666666666666666,6
TT060_1782161192818,Older,close,yes,0.5,6
TT060_1782174130013,Younger,boss,yes,0.16666666666666666,6
TT060_1782174130013,Younger,close,hmm,0.5,6
TT061_1782573741330,Older,boss,hmm,0.3333333333333333,6
TT061_1782573741330,Older,close,hmm,0.16666666666666666,6
TT062_1782343308733,Older,boss,yes,0.5,6
TT062_1782343308733,Older,close,hmm,0.8333333333333334,6
TT062_1782438070117,Younger,boss,hmm,0.0,5
TT062_1782438070117,Younger,close,yes,1.0,6
TT063_1783095012390,Younger,boss,hmm,0.0,6
TT063_1783095012390,Younger,close,yes,1.0,6
TT064_1782491874816,Older,boss,yes,1.0,6
TT064_1782491874816,Older,close,hmm,0.5,6
TT064_1783885820209,Older,boss,yes,0.0,6
TT064_1783885820209,Older,close,hmm,1.0,6
TT065_1782051784543,Older,boss,hmm,0.0,6
TT065_1782051784543,Older,close,hmm,1.0,6
TT065_1782393874998,Younger,boss,yes,0.3333333333333333,6
TT065_1782393874998,Younger,close,yes,0.8333333333333334,6
TT066_1784429102657,Older,boss,yes,0.0,6
TT066_1784429102657,Older,close,yes,0.8333333333333334,6
TT066_1784688566025,Older,boss,yes,0.16666666666666666,6
