model,term,median,CI_low,CI_high,pct_in_ROPE,pd
s2_main,b_Intercept,0.29,0.04,0.56,19.7,0.989
s2_main,b_epistemichmm_vs_yes,-0.1,-0.31,0.1,77.5,0.827
s2_main,b_ageGroupyounger_vs_older,-0.35,-0.62,-0.1,8.6,0.997
s2_main,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.2,-0.4,0.01,42.8,0.971
s2_younger,b_Intercept,-0.07,-0.4,0.26,68.2,0.662
s2_younger,b_epistemichmm_vs_yes,-0.28,-0.56,0,23.8,0.974
s2_older,b_Intercept,0.65,0.29,1.05,0.6,1
s2_older,b_epistemichmm_vs_yes,0.1,-0.19,0.4,67.4,0.753
s2_age_continuous,b_Intercept,0.3,0.04,0.57,18.2,0.988
s2_age_continuous,b_epistemichmm_vs_yes,-0.1,-0.31,0.11,77,0.814
s2_age_continuous,b_age_c,0.23,-0.01,0.48,34.8,0.971
s2_age_continuous,b_epistemichmm_vs_yes:age_c,0.08,-0.11,0.27,84.2,0.788
s2_age_continuous_4to8,b_Intercept,0.15,-0.04,0.34,63.4,0.936
s2_age_continuous_4to8,b_epistemichmm_vs_yes,-0.05,-0.22,0.12,93.2,0.71
s2_age_continuous_4to8,b_age_c_all,0.19,0.06,0.33,43.6,0.999
s2_age_continuous_4to8,b_epistemichmm_vs_yes:age_c_all,-0.01,-0.13,0.1,99.8,0.598
s2_priors_tight,b_Intercept,0.29,0.03,0.55,20,0.986
s2_priors_tight,b_epistemichmm_vs_yes,-0.09,-0.3,0.11,79.2,0.819
s2_priors_tight,b_ageGroupyounger_vs_older,-0.34,-0.6,-0.09,10.2,0.996
s2_priors_tight,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.19,-0.4,0.02,45.6,0.967
s2_priors_wide,b_Intercept,0.29,0.04,0.55,19.9,0.987
s2_priors_wide,b_epistemichmm_vs_yes,-0.1,-0.31,0.11,77.4,0.823
s2_priors_wide,b_ageGroupyounger_vs_older,-0.36,-0.63,-0.11,7.9,0.997
s2_priors_wide,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.2,-0.41,0,42.2,0.974
s2_complete_only,b_Intercept,0.28,0.02,0.54,22.9,0.982
s2_complete_only,b_epistemichmm_vs_yes,-0.11,-0.31,0.1,75.3,0.85
s2_complete_only,b_ageGroupyounger_vs_older,-0.36,-0.63,-0.12,7.2,0.998
s2_complete_only,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.2,-0.4,0,42.1,0.974
s2_6_with_older,b_Intercept,0.31,-0.02,0.66,21.2,0.968
s2_6_with_older,b_epistemichmm_vs_yes,-0.2,-0.46,0.06,44.6,0.935
s2_6_with_older,b_ageGroupyounger_vs_older,0.01,-0.32,0.35,71.4,0.529
s2_6_with_older,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.16,-0.43,0.1,54.9,0.895
s2_noage,b_Intercept,0.29,0.04,0.56,19,0.988
s2_noage,b_epistemichmm_vs_yes,-0.1,-0.3,0.1,77.7,0.833
s2_rt,b_Intercept,10.28,10.23,10.34,0,1
s2_rt,b_epistemichmm_vs_yes,-0.02,-0.06,0.02,100,0.815
s2_rt,b_ageGroupyounger_vs_older,0.12,0.06,0.17,98.7,1
s2_rt,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,0.03,-0.01,0.07,100,0.944
s2_item,b_Intercept,0.29,0.02,0.57,21.4,0.981
s2_item,b_epistemichmm_vs_yes,-0.1,-0.3,0.1,77.6,0.829
s2_item,b_ageGroupyounger_vs_older,-0.36,-0.63,-0.11,7.8,0.997
s2_item,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.2,-0.41,0.01,43.4,0.969
s2_nuisance,b_Intercept,0.43,-0.04,0.95,14.8,0.962
s2_nuisance,b_epistemichmm_vs_yes,-0.11,-0.32,0.1,75.3,0.839
s2_nuisance,b_ageGroupyounger_vs_older,-0.35,-0.62,-0.1,9.2,0.997
s2_nuisance,b_rolesSwappedTRUE,-0.62,-1.07,-0.18,2.6,0.997
s2_nuisance,b_blockOrderyes_hmm,0.41,-0.11,0.93,17.2,0.942
s2_nuisance,b_trialInBlock,-0.11,-0.52,0.31,54.1,0.704
s2_nuisance,b_epistemichmm_vs_yes:ageGroupyounger_vs_older,-0.22,-0.43,-0.01,36.2,0.979
