participantId,age_exact
TT008_1786715410646,6.508
TT009_1785285837662,7.231
TT009_1785687274748,6.782
TT009_1785693140950,5.426
TT009_1785764966556,4.296
TT011_1786493177516,4.95
TT012_1785517277444,7.165
TT012_1785783181333,5.985
TT013_1785419342433,8.424
TT013_1785585417332,7.984
TT013_1785789004481,6.735
TT014_1785316508137,7.02
TT016_1786992717525,7.206
TT017_1786028328933,7.943
TT017_1787342696566,8.947
TT018_1786735232587,8.649
TT019_1785875146213,6.261
TT019_1785956087659,8.282
TT022_1785366557436,6.086
TT023_1785433102838,5.128
TT023_1787076813794,4.739
TT026_1785449650705,5.311
TT026_1785765700663,7.57
TT026_1786301333961,6.617
TT027_1785736841908,5.687
TT028_1785887056236,6.522
TT030_1784001817687,5.448
TT030_1786828291349,4.101
TT030_1787441199089,8.742
TT033_1785791809908,6.798
TT034_1785633255333,6.456
TT034_1786457952487,5.01
TT035_1785430721236,8.375
TT038_1787009145538,7.953
TT039_1785789817144,4.055
TT040_1786065004301,4.181
TT040_1786953154679,8.438
TT042_1785868006573,4.553
TT042_1786395040833,6.987
TT042_1786823436116,4.192
TT043_1785923380868,7.655
TT043_1787010284515,4.419
TT045_1785420091660,7.814
TT047_1785370719830,5.936
TT047_1786567083959,7.477
TT048_1786627578574,5.407
TT049_1786037818588,8.906
TT050_1786645767229,6.565
TT054_1786665859264,5.125
TT054_1786828697501,5.966
TT055_1786653606800,4.022
TT055_1787330601490,6.853
TT056_1785367109929,8.586
TT057_1785874427455,8.95
TT058_1785618682317,4.282
TT060_1786113317413,4.764
TT060_1786666107390,4.027
TT061_1787181124948,4.545
TT062_1785591965877,6.853
TT062_1787127335100,4.906
TT066_1786058803558,4.402
TT067_1785684401148,6.601
TT067_1785969183603,8.542
TT067_1787338755518,4.266
TT068_1787254457702,4.515
TT068_1787255598177,7.786
TT071_1786376213790,5.985
TT071_1787433749147,4.715
TT072_1786277506604,4.263
TT075_1786153780739,5.12
TT075_1787070060993,5.539
TT077_1785554480528,5.736
TT077_1786210456591,4.882
TT078_1786322421603,6.59
TT078_1786630729926,7.688
TT079_1787347673960,4.854
TT081_1785811798524,8.304
TT081_1785889462367,8.309
TT081_1787009821168,4.159
TT082_1786750954620,8.036
TT082_1786893642905,7.899
TT082_1787043656930,4.934
TT085_1787250710520,4.764
TT086_1786979143339,7.521
TT087_1786817436363,4.583
TT088_1785386717009,8.778
TT089_1786280158779,8.038
TT089_1787172289033,7.855
TT090_1785867315446,4.553
TT090_1787232236859,6.105
TT091_1786220809532,7.838
TT091_1786798617089,5.292
TT092_1785973945268,7.817
TT092_1787153454124,7.795
TT092_1787165277945,4.279
TT094_1786568639996,7.135
TT094_1786586298423,7.896
TT096_1786400102305,6.324
TT096_1786568516765,6.886
TT097_1785355975328,6.683
TT098_1785871452702,8.241
TT099_1785963888798,4.038
TT100_1786387943276,6.297
TT100_1787233662728,8.181
TT012_1785954721113,4.679
TT003_1785677806766,7.116
TT048_1786553329643,4.463
TT042_1785671535542,8.134
TT080_1785925178224,7.264
TT056_1785939312865,7.655
TT072_1786807299562,4.027
TT042_1786830002145,5.966
TT040_1787076404770,4.739
TT049_1787488812402,7.647
TT046_1787489471876,5.588
TT097_1787504693857,7.34
TT035_1787510289316,4.504
TT019_1787597106386,4.756
TT037_1787598554908,6.464
TT042_1787611275647,7.83
TT081_1787766809553,8.545
TT006_1787767374560,5.246
TT022_1787772831079,5.027
TT052_1787926652797,7.532
TT056_1787773798145,6.886
TT047_1787863162213,4.671
TT016_1787866514418,8.537
TT022_1787946467046,4.526
TT038_1787947784937,6.946
TT090_1787957044826,8.255
TT057_1788027347054,4.353
TT025_1788033633622,4.246
TT057_1788051344585,7.31
TT003_1788117160485,6.494
TT005_1788117630928,6.94
TT026_1788127285481,6.059
TT095_1788203036860,6.47
TT084_1788214452084,6.812
TT058_1788220265672,6.294
TT089_1788297418839,4.493
TT029_1788348270996,5.708
TT007_1788386966874,7.737
TT071_1788391949498,5.402
TT013_1788449231115,8.027
TT088_1788474930926,7.784
TT089_1788535319846,7.581
TT096_1788550484168,4.813
TT004_1788587315398,8.14
TT029_1788631765220,4.057
TT043_1788631607315,7.685
TT086_1788704333822,6.483
TT030_1788721261183,7.064
TT040_1788723255182,4.301
TT070_1788734419663,4.361
TT005_1788792254349,7.732
