study,questionType,epistemic,age_yr,response,lower.HPD,upper.HPD
twizzle,close,yes,5,0.5581249349349908,0.38481284931125626,0.7281088945746299
twizzle,boss,yes,5,0.6886973066341906,0.5311512809053478,0.8341646788281614
twizzle,close,hmm,5,0.5266446197879806,0.3539697645100658,0.7014889098454732
twizzle,boss,hmm,5,0.6482068452915313,0.4624554524937033,0.8097367905378178
twizzle,close,yes,6,0.8206590566008531,0.6826456954677378,0.9288742910755182
twizzle,boss,yes,6,0.7789919316392984,0.5908510830860941,0.9325479456848501
twizzle,close,hmm,6,0.6885308206463316,0.4980704197426816,0.8590821846598375
twizzle,boss,hmm,6,0.6595009315114329,0.49387740099666605,0.8055857980335932
twizzle,close,yes,7,0.7474025041317569,0.5877980626535174,0.8847042216298262
twizzle,boss,yes,7,0.7345728170980315,0.5923719447416854,0.8542334780939229
twizzle,close,hmm,7,0.769479903546087,0.6355471103703791,0.8886269731996126
twizzle,boss,hmm,7,0.7285976578978862,0.5562782072172829,0.8856976875950819
twizzle,close,yes,8,0.7687052681109263,0.6490321565092959,0.8783248326141468
twizzle,boss,yes,8,0.62540071862786,0.4692587453737959,0.7670762796118623
twizzle,close,hmm,8,0.7271364383807473,0.5966624149942097,0.850566342136644
twizzle,boss,hmm,8,0.7267099812802273,0.5986589779725119,0.8355625930257167
