model,term,median,CI_low,CI_high,pct_in_ROPE,pd
twizzle_main,b_Intercept,0.5,0.19,0.84,0.7,0.999
twizzle_main,b_questionTypeboss,0.13,-0.24,0.5,32.8,0.758
twizzle_main,b_epistemichmm,-0.26,-0.68,0.15,18.5,0.883
twizzle_main,b_age_groupOlder7M8,0.2,-0.24,0.65,23.1,0.815
twizzle_main,b_questionTypeboss:epistemichmm,-0.02,-0.58,0.53,27.3,0.531
twizzle_main,b_questionTypeboss:age_groupOlder7M8,-0.37,-0.87,0.14,11.9,0.92
twizzle_main,b_epistemichmm:age_groupOlder7M8,0.2,-0.37,0.78,21.2,0.758
twizzle_main,b_questionTypeboss:epistemichmm:age_groupOlder7M8,0.21,-0.58,0.99,17.6,0.701
twizzle_age,b_Intercept,0.63,0.41,0.85,0,1
twizzle_age,b_questionTypeboss,-0.1,-0.35,0.16,44.8,0.777
twizzle_age,b_epistemichmm,-0.12,-0.4,0.16,39,0.8
twizzle_age,b_age_c,0.15,-0.03,0.33,28.1,0.952
twizzle_age,b_questionTypeboss:epistemichmm,0.09,-0.29,0.48,35.6,0.679
twizzle_age,b_questionTypeboss:age_c,-0.16,-0.37,0.05,28,0.935
twizzle_age,b_epistemichmm:age_c,0.11,-0.13,0.35,42,0.821
twizzle_age,b_questionTypeboss:epistemichmm:age_c,0.02,-0.3,0.33,45.8,0.543
twizzle_noage,b_Intercept,0.6,0.39,0.82,0,1
twizzle_noage,b_questionTypeboss,-0.08,-0.32,0.17,49.1,0.73
twizzle_noage,b_epistemichmm,-0.11,-0.38,0.17,40.8,0.772
twizzle_noage,b_questionTypeboss:epistemichmm,0.08,-0.3,0.46,36.9,0.658
twizzle_ageyr,b_Intercept,0.15,-0.3,0.6,27.8,0.734
twizzle_ageyr,b_questionTypeboss,0.35,-0.12,0.81,11.7,0.928
twizzle_ageyr,b_epistemichmm,-0.08,-0.64,0.48,26.5,0.607
twizzle_ageyr,b_age_yr6,0.78,0.11,1.44,1.8,0.99
twizzle_ageyr,b_age_yr7,0.52,-0.14,1.2,7.2,0.941
twizzle_ageyr,b_age_yr8,0.59,0,1.18,3.9,0.975
twizzle_ageyr,b_questionTypeboss:epistemichmm,-0.03,-0.77,0.7,21,0.532
twizzle_ageyr,b_questionTypeboss:age_yr6,-0.5,-1.28,0.28,9.6,0.893
twizzle_ageyr,b_questionTypeboss:age_yr7,-0.39,-1.08,0.3,11.8,0.869
twizzle_ageyr,b_questionTypeboss:age_yr8,-0.76,-1.42,-0.11,1.8,0.989
twizzle_ageyr,b_epistemichmm:age_yr6,-0.34,-1.2,0.51,13.2,0.781
twizzle_ageyr,b_epistemichmm:age_yr7,0.14,-0.67,0.96,17.8,0.641
twizzle_ageyr,b_epistemichmm:age_yr8,-0.05,-0.79,0.69,20.5,0.549
twizzle_ageyr,b_questionTypeboss:epistemichmm:age_yr6,0.1,-1.02,1.25,13.6,0.566
twizzle_ageyr,b_questionTypeboss:epistemichmm:age_yr7,-0.05,-1.17,1.1,13.7,0.535
twizzle_ageyr,b_questionTypeboss:epistemichmm:age_yr8,0.45,-0.54,1.46,10.7,0.805
twizzle_age_all_exploratory,b_Intercept,0.46,0.28,0.65,0,1
twizzle_age_all_exploratory,b_questionTypeboss,-0.01,-0.23,0.21,63.9,0.543
twizzle_age_all_exploratory,b_epistemichmm,-0.03,-0.26,0.2,58.8,0.593
twizzle_age_all_exploratory,b_age_c,0.2,0.08,0.32,5.4,1
twizzle_age_all_exploratory,b_questionTypeboss:epistemichmm,-0.01,-0.34,0.31,45.1,0.534
twizzle_age_all_exploratory,b_questionTypeboss:age_c,-0.14,-0.28,0.01,29.8,0.97
twizzle_age_all_exploratory,b_epistemichmm:age_c,-0.04,-0.19,0.12,74,0.674
twizzle_age_all_exploratory,b_questionTypeboss:epistemichmm:age_c,0.1,-0.12,0.32,45.2,0.813
