participantId,ageGroup,age,questionType,epistemic,n_trials,p_chose_indiv
TT003_1781876158739,Younger (5-6),5,close,hmm,6,0.6666666666666666
TT003_1781876158739,Younger (5-6),5,boss,yes,6,0.3333333333333333
TT005_1781805080365,Younger (5-6),6,close,yes,6,0.6666666666666666
TT005_1781805080365,Younger (5-6),6,boss,yes,6,0.5
TT014_1781835495324,Younger (5-6),6,close,yes,6,0.5
TT014_1781835495324,Younger (5-6),6,boss,hmm,6,0.3333333333333333
TT021_1781967893349,Older (7-8),8,close,yes,6,0
TT021_1781967893349,Older (7-8),8,boss,yes,6,0
TT023_1781716522115,Older (7-8),7,close,yes,6,0.8333333333333334
TT023_1781716522115,Older (7-8),7,boss,yes,6,0.6666666666666666
TT023_1781740093391,Younger (5-6),5,close,yes,6,0.3333333333333333
TT023_1781740093391,Younger (5-6),5,boss,hmm,6,0.6666666666666666
TT023_1781877206849,Younger (5-6),5,close,yes,6,0.3333333333333333
TT023_1781877206849,Younger (5-6),5,boss,yes,6,0.3333333333333333
TT024_1781742903015,Older (7-8),7,close,hmm,6,0.3333333333333333
TT024_1781742903015,Older (7-8),7,boss,yes,6,0.5
TT024_1782001172253,Younger (5-6),5,close,hmm,6,0.5
TT024_1782001172253,Younger (5-6),5,boss,yes,6,0.8333333333333334
TT025_1782049334661,Older (7-8),8,close,hmm,6,1
TT025_1782049334661,Older (7-8),8,boss,hmm,6,0.5
TT026_1781973377308,Younger (5-6),6,close,yes,6,0.6666666666666666
TT026_1781973377308,Younger (5-6),6,boss,hmm,6,0.5
TT030_1781956883477,Younger (5-6),6,close,yes,6,0.6666666666666666
TT030_1781956883477,Younger (5-6),6,boss,hmm,6,0.6666666666666666
TT031_1782064484090,Younger (5-6),5,close,hmm,6,0.6666666666666666
TT031_1782064484090,Younger (5-6),5,boss,hmm,6,0.3333333333333333
TT032_1781715689579,Younger (5-6),5,close,yes,6,0.16666666666666666
TT032_1781715689579,Younger (5-6),5,boss,yes,6,0.5
TT033_1781738500793,Older (7-8),7,close,yes,6,0.6666666666666666
TT033_1781738500793,Older (7-8),7,boss,yes,6,0.6666666666666666
TT037_1782003025953,Older (7-8),8,close,hmm,6,0.5
TT037_1782003025953,Older (7-8),8,boss,yes,6,0.5
TT040_1781993137159,Older (7-8),8,close,hmm,6,1
TT040_1781993137159,Older (7-8),8,boss,yes,6,0
TT051_1781734073253,Younger (5-6),5,close,yes,6,0.8333333333333334
TT051_1781734073253,Younger (5-6),5,boss,yes,6,0.8333333333333334
TT052_1781719483230,Younger (5-6),5,close,hmm,6,0.5
TT052_1781719483230,Younger (5-6),5,boss,hmm,6,0.6666666666666666
TT054_1782052225958,Younger (5-6),5,close,hmm,6,0.3333333333333333
TT054_1782052225958,Younger (5-6),5,boss,hmm,6,0.6666666666666666
TT055_1781718622354,Older (7-8),7,close,yes,6,0.6666666666666666
TT055_1781718622354,Older (7-8),7,boss,yes,6,0.16666666666666666
TT057_1781798709972,Older (7-8),7,close,yes,6,0.8333333333333334
TT057_1781798709972,Older (7-8),7,boss,yes,6,1
TT059_1781797634811,Older (7-8),7,close,hmm,6,0.16666666666666666
TT059_1781797634811,Older (7-8),7,boss,hmm,6,1
TT059_1781829664668,Younger (5-6),6,close,yes,6,1
TT059_1781829664668,Younger (5-6),6,boss,hmm,6,0.8333333333333334
TT065_1782051784543,Older (7-8),8,close,hmm,6,1
TT065_1782051784543,Older (7-8),8,boss,hmm,6,1
TT071_1781905409601,Younger (5-6),5,close,hmm,6,0.8333333333333334
TT071_1781905409601,Younger (5-6),5,boss,yes,6,0.5
TT073_1781970589718,Older (7-8),8,close,hmm,6,0.16666666666666666
TT073_1781970589718,Older (7-8),8,boss,hmm,6,0.8333333333333334
TT074_1781804488038,Younger (5-6),6,close,hmm,6,0.16666666666666666
TT074_1781804488038,Younger (5-6),6,boss,hmm,6,0
TT076_1781734793897,Younger (5-6),5,close,hmm,6,0.16666666666666666
TT076_1781734793897,Younger (5-6),5,boss,hmm,6,0.6666666666666666
TT081_1781833774992,Older (7-8),7,close,yes,6,0.5
TT081_1781833774992,Older (7-8),7,boss,hmm,6,0.6666666666666666
TT088_1781739981367,Younger (5-6),5,close,hmm,6,0
TT088_1781739981367,Younger (5-6),5,boss,yes,6,0.3333333333333333
TT092_1782062165784,Younger (5-6),5,close,yes,6,0.3333333333333333
TT092_1782062165784,Younger (5-6),5,boss,hmm,6,0.5
TT094_1781719118831,Older (7-8),7,close,hmm,6,0.8333333333333334
TT094_1781719118831,Older (7-8),7,boss,yes,6,0.5
TT097_1781789283309,Older (7-8),7,close,hmm,6,0.5
TT097_1781789283309,Older (7-8),7,boss,yes,6,0.6666666666666666
TT098_1781819399358,Older (7-8),7,close,hmm,6,0.6666666666666666
TT098_1781819399358,Older (7-8),7,boss,yes,6,1
TT098_1781885781111,Older (7-8),7,close,hmm,6,0
TT098_1781885781111,Older (7-8),7,boss,hmm,6,0.16666666666666666
TT098_1781998891844,Older (7-8),8,close,yes,6,1
TT098_1781998891844,Older (7-8),8,boss,yes,6,0.6666666666666666
TT100_1781886636721,Older (7-8),7,close,yes,6,0.8333333333333334
TT100_1781886636721,Older (7-8),7,boss,hmm,6,0.16666666666666666
